main_headline,classification
DISTRIBUTED MARKETS.,4.0
"A RACE WITH DEATH.; Family of Injured Brakeman Tried to Win with Special Train, but Failed.",6.0
Caldwell Defeated Miller.,1.0
TO OPEN COMMUNICATION.,7.0
TO COMMAND MARINES IN CHINA.,7.0
Front Page 12 -- No Title,7.0
The Princeton Sails for Shanghai.,7.0
Incorporated in Delaware.,1.0
ALASKA BOUNDARY DISPUTE; Attack on Administration Brings the Matter Up Again. MODUS VIVENDI PROVISIONS Denial of Any Attempt to Cede Territory to Canada -- Provisional Boundary a Temporary Plan.,5.0
Bark's Chief Officer Dies at Sea.,1.0
KILLED TAKING A HURDLE.; Miss Blake of Boston Loses Her Life at the Holloway Stock Farm.,9.0
FAMINE-STRICKEN INDIA.; It Will Be Months Before the People Are Self-Supporting.,9.0
TENNIS AT LONGWOOD.; Dwight F. Davis Won the Eastern Championship from Beals C. Wright.,9.0
MR. LILLY'S JUNK.; His Neighbors in Greenwich in Court Over Ancient Articles.,9.0
TOPICS OF THE TIMES.,4.0
New National Banks Organized.,1.0
FOREIGNERS HELD AS HOSTAGES.,7.0
THE UNITED SERVICE.,1.0
"PENSION ROLLS INCREASING.; Additions During the Year 2,010 More Than the Withdrawals.",9.0
"MEEHANUS EASILY FIRST; Park Row Favorite Beat Fast Horses in Flight Handicap. JANICE TOOK THE DISTAFF Morris Filly, with Cap and Bells Out of the Way, Had Little Trouble in Winning.",9.0
J. Reiff Rode Four Winners.,1.0
BATTLE AT NIU-CHWANG.,7.0
SUPERINTENDENT BROCKWAY.,1.0
Queen's Statue Defaced.,1.0
Anarchist Orders from Paterson.,7.0
Editorial Article 1 -- No Title,1.0
PLANS OF CHARLES A. TOWNE.; His Withdrawal from Populist Presidential Ticket Not Yet Certain.,9.0
OUTSIDE SECURITIES.,9.0
British Commander at Tien-Tsin.,7.0
MESSAGE FROM SIR ROBERT HART.,7.0
ROSTER OF CITY EMPLOYES; The Record Publishes Names and Salary List. Attorney Moss Regrets that a Summary Is Not Given -- Mr. Coler on Increases.,5.0
LOSSES BY FIRE.,7.0
THE EFFECT IN BERLIN.,7.0
"A SUBTERRANEAN DUEL.; Fierce Conflict Between Miners 2,000 Feet Under Ground -- One Badly Wounded.",9.0
TO ABOLISH PRIVATEERING; Americans Make Overtures to International Law Association. NOW IN SESSION AT ROUEN Radical Reform Is Urged by Representatives of the Bar Association of This Country.,9.0
Linseed Oil's Statement.,7.0
TUG BOUND FOR SAN FRANCISCO; The L. Luckenback Leaves New York To-day on a Long Voyage.,9.0
RUSSIAN OPERATIONS IN AMUR.,7.0
SUPT. BROCKWAY RESIGNS.; Resignation Accepted by Managers of Elmira Reformatory to Take Ef- fect Next December.,1.0
FOR CUBA'S CONSTITUTION; Election of Convention Delegates Ordered for Sept. 15. CONVENTION SET FOR NOV. 5 War Department in Its Order Fixing Dates Asserts Determination to Give Up Control of Islands.,9.0
"FOUR GIRLS LOST IN SURF.; Floating Beyond Their Depth, They Are Caught by the Undertow.",9.0
"THE WORLD'S STEEL OUTPUT.; United States Produced Last Year 10,702,209 Out of 26,841,755 Tons.",4.0
BOSTON STOCK MARKET.,1.0
London Solicitor Accused of Fraud.,1.0
MANY CHANGES MADE IN FIRE DEPARTMENT; New and Younger Commanders for Down-Town Companies. ROLL OF MERIT MEN PROMOTED Thirty-one Become Lieutenants -- Fourteen New Captains -- Battalion Chief Castle Retired.,2.0
THE ROYAL FUNERAL.; Will Occur In Rome -- Emperor William to Attend -- LI-Hung-Chang's Condolences.,9.0
"KING VICTOR IN ITALY; Arrived in Reggio and Started at Once for Rome. MINISTRY ISSUES MANIFESTO Humbert's Body to be Taken to Rome, Attended by the Queen -- Army Takes Oath of Allegiance.",9.0
Pneumatic Horse Collar Company.,1.0
Newport Golf Club Matches.,9.0
"MONUMENT TO CATAWBA INDIANS.; Dedicated in Fort Mill, S.C., to Confederate Scouts.",9.0
"SEARCHING AMONG PATERSON ANARCHISTS; Italian Consulate Believed to Have Started Investigation. LOCAL POLICE DOING NOTHING Say There Are No Anarchists in Town, Although Latter Announce Open Meetings -- Ernestina Crevella Lionized.",8.0
CANTON REPORTED QUIET.,7.0
ALLEGED BUCKET SHOPS.; Chicago Police Raid Six Offices in the Financial District -- Nearly 400 Prisoners.,9.0
FOUR LEGATIONS DESTROYED.,7.0
Front Page 4 -- No Title,7.0
MINISTER CONGER'S REPORT.,7.0
ADVANCE ON PEKING IS AGAIN DELAYED; Report of Movement Yesterday Not Credited in Washington. CHINA MAY BE ASKED TO HELP Plan to Force Co-operation or That Government -- Germans and Brit- ish Against Delay.,6.0
SHAOWU MISSION DESTROYED.,7.0
HEARING ON HOYT CASE.,7.0
Editorial Article 2 -- No Title,9.0
CHICAGO QUOTATIONS.,1.0
LIEUT. SPURGIN DIES IN MANILA.; Succumbs to Shock After Undergoing Surgical Operation.,9.0
Other Fields.,1.0
VANDERBILT-FRENCH WEDDING.; Reported that Ceremony Will Take Place in Newport in October.,9.0
Front Page 6 -- No Title,7.0
Obituary 1 -- No Title,1.0
STEEL AND IRON SITUATION.; Conference on Wage Scale Question Continues -- Report that Important Contracts Will Be Broken.,9.0
SPECIAL FRANCHISE TAX LAW.; State Board Compelled to Review Assessments on Railway Properties.,9.0
