pub_date,main_headline,article_url,classification
2013-01-01T00:00:00Z,"Mandela as Dissident, Liberator and Statesman",https://www.nytimes.com/interactive/2013/01/01/world/africa/mandela-obit-photos.html,0
2013-01-01T00:00:00Z,Passage of Tax Deal Hangs in the Balance,https://www.nytimes.com/slideshow/2013/01/01/us/20120102_FISCAL.html,0
2013-01-01T00:00:00Z,Holiday on Tuesday: New Year’s Day,https://www.nytimes.com/2013/01/01/nyregion/holiday-on-tuesday-new-years-day.html,0
2013-01-01T00:00:00Z,‘Maria Stuarda’ at the Metropolitan Opera,https://www.nytimes.com/slideshow/2013/01/01/arts/music/20120102MARIA.html,0
2013-01-01T00:00:00Z,Photo Replay: Jan. 1,https://www.nytimes.com/slideshow/2013/01/01/sports/SPTSREPLAY0101.html,0
2013-01-01T00:00:00Z,Planned Updates to Southeast Asia’s Rail Network,https://www.nytimes.com/interactive/2013/01/01/world/asia/Planned-Updates-To-Southeast-Asias-Rail-Network.html,0
2013-01-01T00:00:00Z,What’s On Tuesday,https://www.nytimes.com/2013/01/01/arts/television/whats-on-tuesday.html,0
2013-01-01T00:00:00Z,"Corrections: January 1, 2013",https://www.nytimes.com/2013/01/01/pageoneplus/corrections-january-1-2013.html,0
2013-01-01T00:00:00Z,"Quotation of the Day for Tuesday, Jan. 1",https://www.nytimes.com/2013/01/01/pageoneplus/quotation-of-the-day-for-tuesday-jan-1.html,0
2013-01-01T00:00:00Z,New Year’s Eve Around the World,https://www.nytimes.com/slideshow/2013/01/01/world/20130101_NEWYEAR.html,0
2013-01-01T00:00:00Z,"Violence in Iraq Swells at Year’s End, Leaving at Least 3 Dozen Dead",https://www.nytimes.com/2013/01/01/world/middleeast/attacks-in-iraq-leave-at-least-3-dozen-dead.html,0
2013-01-01T00:00:00Z,"After Rocket Attack, an Israeli City Seems Resigned to More in the Future",https://www.nytimes.com/2013/01/01/world/middleeast/after-rocket-attack-an-israeli-city-seems-resigned-to-more-in-the-future.html,0
2013-01-01T00:00:00Z,Union Submits Counteroffer and Waits on N.H.L.,https://www.nytimes.com/2013/01/01/sports/hockey/players-union-submits-a-counteroffer-and-waits-on-nhl-response.html,0
2013-01-01T00:00:00Z,Former M.V.P. Tejada and Royals Reach a Deal,https://www.nytimes.com/2013/01/01/sports/baseball/former-mvp-miguel-tejada-and-royals-reach-a-deal.html,0
2013-01-01T00:00:00Z,Syrian Military Mounts Offensive in Suburb of Damascus,https://www.nytimes.com/2013/01/01/world/middleeast/syrian-military-mounts-offensive-in-damascus-suburb.html,0
2013-01-01T00:00:00Z,The McConnell-Biden Plan,https://www.nytimes.com/interactive/2013/01/01/us/the-mcconnell-biden-plan.html,0
2013-01-01T00:00:00Z,"Trendy Spot Urges Tourists to Ride In and Spend, ‘Gangnam Style’",https://www.nytimes.com/2013/01/01/world/asia/flaunting-gangnam-style-trendy-area-urges-visitors-to-prance-in.html,0
2013-01-01T00:00:00Z,"1991 Victory Over Iraq Was Swift, but Hardly Flawless",https://www.nytimes.com/2013/01/01/world/middleeast/victory-over-iraq-in-1991-was-swift-but-flawed.html,0
2013-01-01T00:00:00Z,"Manhattan Couple Stored Bomb-Making Items, Police Say",https://www.nytimes.com/2013/01/01/nyregion/manhattan-couple-stored-bomb-making-items-police-say.html,0
2013-01-01T00:00:00Z,Rangers in Isolated Central Africa Uncover Grim Cost of Protecting Wildlife,https://www.nytimes.com/2013/01/01/world/africa/central-africas-wildlife-rangers-face-deadly-risks.html,0
2013-01-01T00:00:00Z,"A Good Year in Stocks, Despite Worries",https://www.nytimes.com/interactive/2013/01/01/business/economy/a-good-year-in-stocks-despite-worries.html,1
2013-01-01T00:00:00Z,5-Point Period Leads to Nets’ Worst Loss of Season,https://www.nytimes.com/2013/01/01/sports/basketball/nets-with-carlesimo-break-down-against-spurs.html,0
